Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
7,4,388,0.0,0.0,1.0,0.0,274.0,2416864.0
17,5,392,0.0,0.0,1.0,0.0,395.0,6161641.0
7,4,393,0.0,0.0,1.0,0.0,183.0,1245228.0
17,5,395,0.0,0.0,1.0,0.0,425.0,5690235.0
19,5,399,0.0,0.0,1.0,0.0,576.0,721794.0
19,5,404,0.0,0.0,1.0,0.0,698.0,2955938.0
3,5,405,0.0,0.0,1.0,0.0,548.0,9232507.0
10,5,406,0.0,0.0,1.0,0.0,606.0,3614568.0
8,5,423,0.0,0.0,1.0,0.0,547.0,6018715.0
4,5,5,0.0,1.0,0.0,0.0,395.0,5305373.0
10,5,8,0.0,1.0,0.0,0.0,546.0,9473602.0
6,4,13,0.0,1.0,0.0,0.0,121.0,119.0
26,4,17,0.0,1.0,0.0,0.0,304.0,3984451.0
23,4,24,0.0,1.0,0.0,0.0,393.0,4268175.0
22,4,26,0.0,1.0,0.0,0.0,305.0,412036.0
26,4,28,0.0,1.0,0.0,0.0,336.0,2195836.0
35,4,30,0.0,1.0,0.0,0.0,275.0,1859463.0
26,4,32,0.0,1.0,0.0,0.0,273.0,3088674.0
25,6,33,0.0,1.0,0.0,0.0,424.0,330132.0
9,6,35,0.0,1.0,0.0,0.0,334.0,2878748.0
4,5,42,0.0,1.0,0.0,0.0,426.0,5201634.0
23,6,45,0.0,1.0,0.0,0.0,426.0,2686225.0
15,4,46,0.0,1.0,0.0,0.0,395.0,4246828.0
16,5,48,0.0,1.0,0.0,0.0,486.0,5889103.0
9,6,50,0.0,1.0,0.0,0.0,396.0,2015546.0
23,6,52,0.0,1.0,0.0,0.0,335.0,2531443.0
4,4,54,0.0,1.0,0.0,0.0,305.0,3597837.0
5,5,55,0.0,1.0,0.0,0.0,426.0,500206.0
17,5,56,0.0,1.0,0.0,0.0,424.0,3550199.0
4,4,64,0.0,1.0,0.0,0.0,305.0,2999946.0
9,6,69,0.0,1.0,0.0,0.0,365.0,3141943.0
26,4,70,0.0,1.0,0.0,0.0,335.0,4084056.0
17,5,71,0.0,1.0,0.0,0.0,456.0,3191266.0
10,4,72,0.0,1.0,0.0,0.0,305.0,3987288.0
26,4,75,0.0,1.0,0.0,0.0,334.0,3090663.0
15,5,76,0.0,1.0,0.0,0.0,546.0,5105643.0
6,4,78,0.0,1.0,0.0,0.0,244.0,2167328.0
7,4,79,0.0,1.0,0.0,0.0,120.0,185.0
6,4,80,0.0,1.0,0.0,0.0,244.0,2438327.0
10,5,82,0.0,1.0,0.0,0.0,454.0,3266405.0
22,5,84,0.0,1.0,0.0,0.0,393.0,3485906.0
10,5,87,0.0,1.0,0.0,0.0,486.0,3592384.0
5,5,90,0.0,1.0,0.0,0.0,120.0,157.0
14,4,92,0.0,1.0,0.0,0.0,336.0,4471285.0
7,4,93,0.0,1.0,0.0,0.0,120.0,6818.0
25,6,94,0.0,1.0,0.0,0.0,426.0,2760344.0
10,5,95,0.0,1.0,0.0,0.0,485.0,587485.0
34,4,101,0.0,1.0,0.0,0.0,304.0,4268006.0
12,5,103,0.0,1.0,0.0,0.0,426.0,214298.0
29,5,106,0.0,1.0,0.0,0.0,426.0,5847364.0
26,4,107,0.0,1.0,0.0,0.0,334.0,3107927.0
5,5,112,0.0,1.0,0.0,0.0,91.0,3762.0
29,5,113,0.0,1.0,0.0,0.0,456.0,6051229.0
26,4,114,0.0,1.0,0.0,0.0,334.0,3180808.0
10,5,115,0.0,1.0,0.0,0.0,485.0,10101613.0
15,5,116,0.0,1.0,0.0,0.0,577.0,7218653.0
29,5,118,0.0,1.0,0.0,0.0,395.0,4121119.0
35,5,119,0.0,1.0,0.0,0.0,456.0,7014846.0
6,4,124,0.0,1.0,0.0,0.0,90.0,2423.0
6,4,125,0.0,1.0,0.0,0.0,120.0,609.0
10,4,130,0.0,1.0,0.0,0.0,336.0,4451371.0
6,4,132,0.0,1.0,0.0,0.0,90.0,6582.0
22,5,134,0.0,1.0,0.0,0.0,487.0,3543742.0
9,6,136,0.0,1.0,0.0,0.0,365.0,1863179.0
